date,export,import,diff
2000-01-01,"₩12,162,425 ","₩12,594,623 ","(₩432,198)"
2000-02-01,"₩12,676,042 ","₩12,023,652 ","₩652,390 "
2000-03-01,"₩14,429,703 ","₩14,212,011 ","₩217,692 "
2000-04-01,"₩13,522,040 ","₩13,344,532 ","₩177,508 "
2000-05-01,"₩14,636,755 ","₩13,283,356 ","₩1,353,399 "
2000-06-01,"₩15,250,940 ","₩13,177,511 ","₩2,073,429 "
2000-07-01,"₩14,455,656 ","₩13,671,876 ","₩783,780 "
2000-08-01,"₩14,786,880 ","₩13,441,139 ","₩1,345,741 "
2000-09-01,"₩15,133,379 ","₩13,291,803 ","₩1,841,576 "
2000-10-01,"₩15,248,068 ","₩14,104,212 ","₩1,143,856 "
2000-11-01,"₩14,989,068 ","₩14,160,418 ","₩828,650 "
2000-12-01,"₩14,976,555 ","₩13,175,885 ","₩1,800,670 "
2001-01-01,"₩12,644,929 ","₩12,431,023 ","₩213,906 "
2001-02-01,"₩13,354,074 ","₩12,732,258 ","₩621,816 "
2001-03-01,"₩14,124,891 ","₩12,951,886 ","₩1,173,005 "
2001-04-01,"₩12,121,110 ","₩11,212,192 ","₩908,918 "
2001-05-01,"₩13,306,959 ","₩11,554,834 ","₩1,752,125 "
2001-06-01,"₩12,931,941 ","₩11,718,966 ","₩1,212,975 "
2001-07-01,"₩11,392,257 ","₩11,107,564 ","₩284,693 "
2001-08-01,"₩11,766,192 ","₩11,337,826 ","₩428,366 "
2001-09-01,"₩12,447,324 ","₩11,709,659 ","₩737,665 "
2001-10-01,"₩12,086,028 ","₩11,506,884 ","₩579,144 "
2001-11-01,"₩12,348,967 ","₩11,532,771 ","₩816,196 "
2001-12-01,"₩11,914,472 ","₩11,301,958 ","₩612,514 "
2002-01-01,"₩11,381,879 ","₩11,326,430 ","₩55,449 "
2002-02-01,"₩11,023,037 ","₩10,471,161 ","₩551,876 "
2002-03-01,"₩13,251,323 ","₩11,990,097 ","₩1,261,226 "
2002-04-01,"₩13,184,534 ","₩12,559,696 ","₩624,838 "
2002-05-01,"₩14,173,177 ","₩12,698,101 ","₩1,475,076 "
2002-06-01,"₩12,894,088 ","₩11,934,221 ","₩959,867 "
2002-07-01,"₩13,395,179 ","₩13,031,773 ","₩363,406 "
2002-08-01,"₩13,959,110 ","₩12,860,751 ","₩1,098,359 "
2002-09-01,"₩13,900,763 ","₩12,991,557 ","₩909,206 "
2002-10-01,"₩15,084,659 ","₩13,817,061 ","₩1,267,598 "
2002-11-01,"₩15,196,561 ","₩13,993,431 ","₩1,203,130 "
2002-12-01,"₩15,026,217 ","₩14,451,874 ","₩574,343 "
2003-01-01,"₩14,319,931 ","₩14,494,967 ","(₩175,036)"
2003-02-01,"₩13,337,145 ","₩13,858,274 ","(₩521,129)"
2003-03-01,"₩15,378,850 ","₩15,870,217 ","(₩491,367)"
2003-04-01,"₩15,720,592 ","₩14,758,747 ","₩961,845 "
2003-05-01,"₩14,676,092 ","₩13,523,642 ","₩1,152,450 "
2003-06-01,"₩15,656,327 ","₩13,428,141 ","₩2,228,186 "
2003-07-01,"₩15,431,714 ","₩14,898,003 ","₩533,711 "
2003-08-01,"₩15,375,268 ","₩13,541,360 ","₩1,833,908 "
2003-09-01,"₩17,021,082 ","₩14,531,444 ","₩2,489,638 "
2003-10-01,"₩18,929,665 ","₩16,536,628 ","₩2,393,037 "
2003-11-01,"₩18,242,088 ","₩15,760,750 ","₩2,481,338 "
2003-12-01,"₩19,728,688 ","₩17,624,485 ","₩2,104,203 "
2004-01-01,"₩18,987,120 ","₩16,208,879 ","₩2,778,241 "
2004-02-01,"₩19,136,968 ","₩17,468,564 ","₩1,668,404 "
2004-03-01,"₩21,174,855 ","₩19,120,078 ","₩2,054,777 "
2004-04-01,"₩21,483,357 ","₩18,829,952 ","₩2,653,405 "
2004-05-01,"₩20,834,259 ","₩17,895,384 ","₩2,938,875 "
2004-06-01,"₩21,657,111 ","₩18,544,350 ","₩3,112,761 "
2004-07-01,"₩21,003,794 ","₩18,390,091 ","₩2,613,703 "
2004-08-01,"₩19,798,969 ","₩18,124,364 ","₩1,674,605 "
2004-09-01,"₩20,831,133 ","₩18,193,347 ","₩2,637,786 "
2004-10-01,"₩22,663,289 ","₩20,408,216 ","₩2,255,073 "
2004-11-01,"₩23,076,612 ","₩20,311,965 ","₩2,764,647 "
2004-12-01,"₩23,197,206 ","₩20,967,497 ","₩2,229,709 "
2005-01-01,"₩22,454,025 ","₩19,450,003 ","₩3,004,022 "
2005-02-01,"₩20,401,096 ","₩18,396,908 ","₩2,004,188 "
2005-03-01,"₩23,952,500 ","₩22,779,866 ","₩1,172,634 "
2005-04-01,"₩22,872,505 ","₩21,244,490 ","₩1,628,015 "
2005-05-01,"₩23,122,703 ","₩21,161,778 ","₩1,960,925 "
2005-06-01,"₩23,707,576 ","₩21,288,597 ","₩2,418,979 "
2005-07-01,"₩23,235,522 ","₩21,508,824 ","₩1,726,698 "
2005-08-01,"₩23,342,967 ","₩22,000,828 ","₩1,342,139 "
2005-09-01,"₩24,519,191 ","₩22,718,657 ","₩1,800,534 "
2005-10-01,"₩25,352,748 ","₩22,652,735 ","₩2,700,013 "
2005-11-01,"₩25,826,192 ","₩23,849,552 ","₩1,976,640 "
2005-12-01,"₩25,631,716 ","₩24,186,026 ","₩1,445,690 "
2006-01-01,"₩23,257,866 ","₩23,089,304 ","₩168,562 "
2006-02-01,"₩23,786,956 ","₩23,507,780 ","₩279,176 "
2006-03-01,"₩26,840,145 ","₩25,945,007 ","₩895,138 "
2006-04-01,"₩25,590,123 ","₩24,485,820 ","₩1,104,303 "
2006-05-01,"₩27,934,507 ","₩26,210,366 ","₩1,724,141 "
2006-06-01,"₩27,948,805 ","₩26,023,464 ","₩1,925,341 "
2006-07-01,"₩25,774,350 ","₩25,549,715 ","₩224,635 "
2006-08-01,"₩27,287,195 ","₩27,029,461 ","₩257,734 "
2006-09-01,"₩29,651,247 ","₩27,636,644 ","₩2,014,603 "
2006-10-01,"₩28,015,959 ","₩25,621,762 ","₩2,394,197 "
2006-11-01,"₩30,602,313 ","₩26,765,115 ","₩3,837,198 "
2006-12-01,"₩28,775,383 ","₩27,518,194 ","₩1,257,189 "
2007-01-01,"₩28,092,561 ","₩27,560,101 ","₩532,460 "
2007-02-01,"₩26,225,125 ","₩25,406,152 ","₩818,973 "
2007-03-01,"₩30,385,840 ","₩29,295,460 ","₩1,090,380 "
2007-04-01,"₩29,944,456 ","₩29,596,882 ","₩347,574 "
2007-05-01,"₩31,039,901 ","₩29,856,937 ","₩1,182,964 "
2007-06-01,"₩32,000,109 ","₩28,508,098 ","₩3,492,011 "
2007-07-01,"₩30,207,444 ","₩29,223,201 ","₩984,243 "
2007-08-01,"₩30,998,134 ","₩29,642,050 ","₩1,356,084 "
2007-09-01,"₩29,323,535 ","₩27,193,582 ","₩2,129,953 "
2007-10-01,"₩34,433,813 ","₩32,741,232 ","₩1,692,581 "
2007-11-01,"₩35,807,893 ","₩33,926,124 ","₩1,881,769 "
2007-12-01,"₩33,030,276 ","₩33,895,915 ","(₩865,639)"
2008-01-01,"₩32,274,575 ","₩36,318,030 ","(₩4,043,455)"
2008-02-01,"₩31,178,190 ","₩32,624,334 ","(₩1,446,144)"
2008-03-01,"₩35,991,776 ","₩37,110,561 ","(₩1,118,785)"
2008-04-01,"₩37,850,247 ","₩38,260,401 ","(₩410,154)"
2008-05-01,"₩39,383,158 ","₩38,704,468 ","₩678,690 "
2008-06-01,"₩37,258,608 ","₩37,827,931 ","(₩569,323)"
2008-07-01,"₩40,961,223 ","₩42,952,491 ","(₩1,991,268)"
2008-08-01,"₩36,610,603 ","₩40,420,447 ","(₩3,809,844)"
2008-09-01,"₩37,428,303 ","₩39,528,073 ","(₩2,099,770)"
2008-10-01,"₩37,111,140 ","₩36,098,774 ","₩1,012,366 "
2008-11-01,"₩28,841,617 ","₩28,853,646 ","(₩12,029)"
2008-12-01,"₩27,117,889 ","₩26,575,580 ","₩542,309 "
2009-01-01,"₩21,133,405 ","₩24,898,821 ","(₩3,765,416)"
2009-02-01,"₩25,397,150 ","₩22,598,094 ","₩2,799,056 "
