Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap
2001-06-11,612.46,615.41,607.2,608.23,340123834,-0.0218,2,-13.55,1711354887650,213769808029580
2001-06-12,605.36,611.88,603.91,607.15,319877548,-0.0018,2,-1.08,1579309434050,213407866089170
2001-06-13,611.79,614.05,607.48,614.05,392415108,0.011399999999999999,1,6.9,1882785913600,215722300556140
2001-06-14,612.96,623.37,610.36,613.75,420520519,-0.0005,2,-0.3,2138122210150,215864633350565
2001-06-15,609.54,618.96,604.37,618.96,375830101,0.0085,1,5.21,1984248114150,217830955673590
2001-06-18,617.66,619.82,607.93,608.78,474207559,-0.016399999999999998,2,-10.18,2043419619250,214226686473430
2001-06-19,606.04,615.85,605.8,608.91,436625776,0.0002,1,0.13,2106692067950,213987251406020
2001-06-20,603.29,604.78,593.75,595.72,440475350,-0.0217,2,-13.19,2054752308850,209331701115360
2001-06-21,597.72,599.76,589.46,595.53,404196817,-0.0003,2,-0.19,1906898500250,209155334272905
2001-06-22,597.34,602.7,593.33,599.08,395237338,0.006,1,3.55,1950713996000,210626069645695
2001-06-25,597.37,602.77,594.04,598.02,309867597,-0.0018,2,-1.06,1550029714850,210117646064020
2001-06-26,597.81,598.96,586.12,588.71,312735620,-0.015600000000000001,2,-9.31,1628122735200,206969547724150
2001-06-27,587.31,590.74,580.75,584.76,330389425,-0.0067,2,-3.95,1647179723300,207082278297195
2001-06-28,585.66,591.03,582.91,583.27,268780175,-0.0025,2,-1.49,1448588759350,206186028137425
2001-06-29,594.02,595.13,589.18,595.13,225172341,0.0203,1,11.86,1398816459600,210493941038255
2001-07-02,593.03,598.24,592.9,596.74,201673960,0.0027,1,1.61,1185360586300,211304919556105
2001-07-03,598.67,598.67,593.56,594.31,209112496,-0.0040999999999999995,2,-2.43,1160904964350,210494732672370
2001-07-04,591.01,597.25,586.31,597.25,226701941,0.0049,1,2.94,1173004815850,211642285970550
2001-07-05,598.95,600.51,592.8,593.61,195564638,-0.0060999999999999995,2,-3.64,1058543443300,210373426894010
2001-07-06,581.85,585.08,578.13,578.54,215957192,-0.0254,2,-15.07,1143604238650,205218134369635
2001-07-09,565.34,568.21,555.66,560.0,250533955,-0.032,2,-18.54,1429909782500,198738018914895
2001-07-10,563.21,565.51,557.51,558.6,228984781,-0.0025,2,-1.4,1079791557500,197512101358550
2001-07-11,547.15,558.53,545.76,553.65,208227475,-0.0089,2,-4.95,1137053545350,195868457350495
2001-07-12,561.5,566.26,559.95,559.95,302702468,0.011399999999999999,1,6.3,1459039935250,199257405551890
2001-07-13,571.16,571.16,546.97,548.49,259004713,-0.020499999999999997,2,-11.46,1380948839950,195323003702460
2001-07-16,551.43,554.93,545.17,548.93,228143727,0.0008,1,0.44,961640649050,195505729533260
2001-07-18,550.94,551.97,539.04,540.53,275322260,-0.015300000000000001,2,-8.4,1181377283250,192911032256960
2001-07-19,534.13,545.74,534.13,545.74,263163919,0.0096,1,5.21,1165193522450,194762142330415
2001-07-20,540.26,541.95,534.39,537.71,275155568,-0.0147,2,-8.03,1136977502200,191983569456485
2001-07-23,535.0,538.35,522.38,524.21,265250874,-0.025099999999999997,2,-13.5,995617816500,186924084562595
2001-07-24,518.94,527.37,512.78,526.62,485589912,0.0046,1,2.41,1490722442150,188256989900905
2001-07-25,519.74,528.33,516.64,526.08,371429778,-0.001,2,-0.54,1173231220500,187743489018470
2001-07-26,529.65,531.96,527.22,529.22,313189382,0.006,1,3.14,1095177792050,189054365547860
2001-07-27,536.86,542.58,534.94,541.13,395951177,0.0225,1,11.91,1322265838200,193226577601820
2001-07-30,542.08,542.08,532.85,533.53,274101309,-0.013999999999999999,2,-7.6,939550518700,190425946471625
2001-07-31,534.84,541.55,532.55,541.55,202397781,0.015,1,8.02,916393405150,193627166475185
2001-08-01,546.3,563.67,542.0,562.79,441170150,0.0392,1,21.24,1915759556900,201200591952485
2001-08-02,565.39,572.03,557.29,567.46,445704336,0.0083,1,4.67,1950386510150,203009273173785
2001-08-03,572.0,572.0,563.55,568.69,267802542,0.0022,1,1.23,1226627630100,203317128167745
2001-08-06,564.72,573.56,563.53,569.37,375431719,0.0012,1,0.68,1256285629900,203729599209715
2001-08-07,562.17,568.57,561.29,567.5,366593615,-0.0033,2,-1.87,1350179772700,203269285670105
2001-08-08,568.07,568.85,561.35,565.94,362125931,-0.0027,2,-1.56,1202683568500,202575677552140
2001-08-09,554.46,559.17,549.67,549.67,318622178,-0.0287,2,-16.27,1213865962450,196784788752985
2001-08-10,556.04,558.27,552.0,555.34,286535871,0.0103,1,5.67,989631211800,198789830811540
2001-08-13,558.48,562.0,552.17,562.0,298623757,0.012,1,6.66,1159257544350,201289000819675
2001-08-14,565.2,577.24,564.86,577.15,539431845,0.027000000000000003,1,15.15,2032870096000,206916420743670
2001-08-16,571.19,582.8,569.53,580.95,525647067,0.0066,1,3.8,2119644509100,208310228776490
2001-08-17,582.93,585.36,577.1,580.99,437366014,0.0001,1,0.04,1804064133750,208123917537765
2001-08-20,568.88,574.16,566.42,567.09,381820763,-0.0239,2,-13.9,1397102526850,203100618848480
2001-08-21,571.77,572.86,561.44,568.68,356393622,0.0028000000000000004,1,1.59,1432652126100,203160568792775
2001-08-22,560.53,575.3,560.53,574.87,525815790,0.0109,1,6.19,1961556258950,206074151395070
2001-08-23,578.62,580.51,568.82,570.07,482270506,-0.0083,2,-4.8,1655560743550,204265471523665
2001-08-24,571.97,573.19,563.9,569.31,415286272,-0.0013,2,-0.76,1434009267200,203865286271080
2001-08-27,577.46,585.34,574.71,578.74,478607783,0.0166,1,9.43,1817691699650,207466243876335
2001-08-28,577.75,578.62,573.1,576.51,445220267,-0.0039000000000000003,2,-2.23,1373603617750,206540614581210
2001-08-29,569.77,570.03,563.28,565.63,468999627,-0.0189,2,-10.88,1494493720300,202716258149855
2001-08-30,555.98,564.36,554.47,564.36,711803716,-0.0022,2,-1.27,1500939431600,198650460390810
2001-08-31,552.78,554.48,542.21,545.11,720384593,-0.0341,2,-19.25,1789164304200,191853012066575
2001-09-03,545.02,547.63,539.17,541.83,415212284,-0.006,2,-3.28,1096549101550,190689917214495
2001-09-04,543.1,558.79,540.33,558.79,499962306,0.0313,1,16.96,1342105216150,196742206870535
2001-09-05,550.43,553.61,547.88,551.91,788717088,-0.0123,2,-6.88,1717258100500,194305264319785
2001-09-06,552.41,559.17,551.35,552.59,588149884,0.0012,1,0.68,1617643176300,194423590923895
2001-09-07,546.79,555.51,544.73,555.08,491275493,0.0045000000000000005,1,2.49,1566113512650,195141043017195
2001-09-10,547.99,551.26,545.16,550.73,595823298,-0.0078000000000000005,2,-4.35,1579261047150,196929932231565
2001-09-11,550.9,553.61,539.72,540.57,612392966,-0.0184,2,-10.16,1640561014850,192877835086585
2001-09-12,490.14,499.9,474.58,475.6,242831891,-0.1202,2,-64.97,1659234192900,169923289743055
