"Composite leading indicator (CLI)"
"Amplitude adjusted, Long-term average = 100"
"Category","G20","United States","Korea"
"2007-10-01 00:00:00",102.4871,101.8684,101.0253
"2007-11-01 00:00:00",102.3575,101.74,100.6377
"2007-12-01 00:00:00",102.1695,101.6161,100.1617
"2008-01-01 00:00:00",101.9221,101.4872,99.6384
"2008-02-01 00:00:00",101.6055,101.341,99.12054
"2008-03-01 00:00:00",101.2352,101.1796,98.64127
"2008-04-01 00:00:00",100.8094,100.9779,98.2081
"2008-05-01 00:00:00",100.3122,100.7017,97.81893
"2008-06-01 00:00:00",99.72789,100.3118,97.46706
"2008-07-01 00:00:00",99.04433,99.77343,97.16921
"2008-08-01 00:00:00",98.27818,99.07243,96.93046
"2008-09-01 00:00:00",97.45924,98.22375,96.74742
"2008-10-01 00:00:00",96.65402,97.29099,96.66138
"2008-11-01 00:00:00",95.96752,96.39775,96.75999
"2008-12-01 00:00:00",95.48524,95.64577,97.10265
"2009-01-01 00:00:00",95.25079,95.09971,97.6864
"2009-02-01 00:00:00",95.28895,94.79717,98.45918
"2009-03-01 00:00:00",95.57106,94.75557,99.29221
"2009-04-01 00:00:00",96.05767,94.96438,100.103
"2009-05-01 00:00:00",96.6772,95.3546,100.8257
"2009-06-01 00:00:00",97.36095,95.85468,101.4415
"2009-07-01 00:00:00",98.04812,96.40168,101.9496
"2009-08-01 00:00:00",98.69308,96.95461,102.3386
"2009-09-01 00:00:00",99.26651,97.4837,102.5903
"2009-10-01 00:00:00",99.75111,97.97353,102.7027
"2009-11-01 00:00:00",100.1432,98.42359,102.7081
"2009-12-01 00:00:00",100.4456,98.8372,102.6348
"2010-01-01 00:00:00",100.6597,99.19395,102.4997
"2010-02-01 00:00:00",100.7849,99.45856,102.3353
"2010-03-01 00:00:00",100.8388,99.63489,102.1724
"2010-04-01 00:00:00",100.8246,99.70604,102.0155
"2010-05-01 00:00:00",100.7607,99.68248,101.8583
"2010-06-01 00:00:00",100.6827,99.60434,101.6864
"2010-07-01 00:00:00",100.6304,99.53703,101.4854
"2010-08-01 00:00:00",100.6299,99.53104,101.268
"2010-09-01 00:00:00",100.6828,99.59862,101.0523
"2010-10-01 00:00:00",100.777,99.72746,100.8732
"2010-11-01 00:00:00",100.8945,99.90835,100.7704
"2010-12-01 00:00:00",101.0077,100.1015,100.746
"2011-01-01 00:00:00",101.0936,100.2659,100.7634
"2011-02-01 00:00:00",101.1272,100.3659,100.7542
"2011-03-01 00:00:00",101.096,100.3655,100.667
"2011-04-01 00:00:00",100.9991,100.2615,100.502
"2011-05-01 00:00:00",100.8436,100.0658,100.2672
"2011-06-01 00:00:00",100.6425,99.80077,99.9791
"2011-07-01 00:00:00",100.4174,99.51588,99.65884
"2011-08-01 00:00:00",100.1946,99.27441,99.31859
"2011-09-01 00:00:00",100.011,99.14584,98.98731
"2011-10-01 00:00:00",99.89043,99.16169,98.69451
"2011-11-01 00:00:00",99.83465,99.30286,98.47955
"2011-12-01 00:00:00",99.82904,99.51782,98.38721
"2012-01-01 00:00:00",99.84872,99.73342,98.41222
"2012-02-01 00:00:00",99.86154,99.88471,98.52203
"2012-03-01 00:00:00",99.84763,99.94405,98.66209
"2012-04-01 00:00:00",99.80138,99.91504,98.79266
"2012-05-01 00:00:00",99.73417,99.82119,98.88335
"2012-06-01 00:00:00",99.66322,99.70323,98.92799
"2012-07-01 00:00:00",99.61015,99.61215,98.92748
"2012-08-01 00:00:00",99.5879,99.57496,98.91564
"2012-09-01 00:00:00",99.60398,99.6064,98.91454
"2012-10-01 00:00:00",99.65474,99.68047,98.92736
"2012-11-01 00:00:00",99.73341,99.77912,98.96662
"2012-12-01 00:00:00",99.83359,99.90382,99.04665
"2013-01-01 00:00:00",99.94057,100.0484,99.14948
"2013-02-01 00:00:00",100.0402,100.1962,99.28457
"2013-03-01 00:00:00",100.1163,100.3207,99.45198
"2013-04-01 00:00:00",100.1697,100.4366,99.61049
"2013-05-01 00:00:00",100.2084,100.5508,99.73202
"2013-06-01 00:00:00",100.2365,100.6406,99.7953
"2013-07-01 00:00:00",100.2584,100.6943,99.78985
"2013-08-01 00:00:00",100.2809,100.7247,99.74582
"2013-09-01 00:00:00",100.3007,100.7374,99.67731
"2013-10-01 00:00:00",100.3108,100.7421,99.61424
"2013-11-01 00:00:00",100.3091,100.747,99.57947
"2013-12-01 00:00:00",100.2923,100.7408,99.58164
"2014-01-01 00:00:00",100.2659,100.7293,99.59876
"2014-02-01 00:00:00",100.2452,100.7472,99.61091
"2014-03-01 00:00:00",100.2344,100.7946,99.60711
"2014-04-01 00:00:00",100.2222,100.8523,99.58179
"2014-05-01 00:00:00",100.2048,100.9022,99.548
"2014-06-01 00:00:00",100.1838,100.9374,99.52605
"2014-07-01 00:00:00",100.164,100.9532,99.5332
"2014-08-01 00:00:00",100.1492,100.9531,99.58926
"2014-09-01 00:00:00",100.1419,100.9403,99.69254
"2014-10-01 00:00:00",100.1398,100.9104,99.83823
"2014-11-01 00:00:00",100.1425,100.8628,100.0159
"2014-12-01 00:00:00",100.1503,100.7926,100.1921
"2015-01-01 00:00:00",100.1611,100.7009,100.3276
"2015-02-01 00:00:00",100.1716,100.5945,100.4218
"2015-03-01 00:00:00",100.1756,100.4847,100.4744
"2015-04-01 00:00:00",100.1624,100.3756,100.486
"2015-05-01 00:00:00",100.1192,100.2604,100.4651
"2015-06-01 00:00:00",100.0407,100.134,100.4245
"2015-07-01 00:00:00",99.93427,99.9744,100.3914
"2015-08-01 00:00:00",99.82054,99.79232,100.3715
"2015-09-01 00:00:00",99.71789,99.61617,100.3656
"2015-10-01 00:00:00",99.63506,99.4707,100.3596
"2015-11-01 00:00:00",99.56303,99.34878,100.3478
"2015-12-01 00:00:00",99.49611,99.24486,100.3311
"2016-01-01 00:00:00",99.4391,99.16203,100.3169
"2016-02-01 00:00:00",99.40012,99.10673,100.3248
"2016-03-01 00:00:00",99.38847,99.08955,100.3605
"2016-04-01 00:00:00",99.39831,99.09125,100.4153
"2016-05-01 00:00:00",99.42154,99.09591,100.4871
"2016-06-01 00:00:00",99.45744,99.09756,100.5771
"2016-07-01 00:00:00",99.51178,99.11472,100.682
"2016-08-01 00:00:00",99.58498,99.16019,100.7992
"2016-09-01 00:00:00",99.6785,99.24849,100.9146
"2016-10-01 00:00:00",99.78563,99.37511,101.0205
"2016-11-01 00:00:00",99.8969,99.5241,101.1364
"2016-12-01 00:00:00",100.0073,99.67526,101.2745
"2017-01-01 00:00:00",100.1105,99.79755,101.4186
"2017-02-01 00:00:00",100.2052,99.87806,101.5471
"2017-03-01 00:00:00",100.292,99.91711,101.6386
"2017-04-01 00:00:00",100.3731,99.93004,101.679
"2017-05-01 00:00:00",100.4513,99.93724,101.6671
"2017-06-01 00:00:00",100.5315,99.95444,101.6126
"2017-07-01 00:00:00",100.6115,99.98786,101.5122
"2017-08-01 00:00:00",100.6884,100.0625,101.3758
"2017-09-01 00:00:00",100.7522,100.1696,101.2132
"2017-10-01 00:00:00",100.7957,100.2974,101.0317
"2017-11-01 00:00:00",100.8146,100.4279,100.8263
"2017-12-01 00:00:00",100.8084,100.5567,100.6195
"2018-01-01 00:00:00",100.7818,100.6843,100.4405
"2018-02-01 00:00:00",100.7362,100.7995,100.2978
"2018-03-01 00:00:00",100.6682,100.87,100.1755
"2018-04-01 00:00:00",100.5796,100.89,100.0699
"2018-05-01 00:00:00",100.4743,100.8711,99.9688
"2018-06-01 00:00:00",100.3522,100.8226,99.85762
"2018-07-01 00:00:00",100.2166,100.747,99.74242
"2018-08-01 00:00:00",100.0714,100.6457,99.63205
"2018-09-01 00:00:00",99.92255,100.503,99.52381
"2018-10-01 00:00:00",99.77678,100.3145,99.41711
"2018-11-01 00:00:00",99.64518,100.0973,99.32816
"2018-12-01 00:00:00",99.5323,99.87427,99.26932
"2019-01-01 00:00:00",99.44353,99.66708,99.22553
"2019-02-01 00:00:00",99.37874,99.49279,99.18466
"2019-03-01 00:00:00",99.32831,99.3506,99.12009
"2019-04-01 00:00:00",99.27976,99.21867,99.02261
"2019-05-01 00:00:00",99.22681,99.09663,98.91669
"2019-06-01 00:00:00",99.17625,98.99065,98.82022
"2019-07-01 00:00:00",99.1334,98.90633,98.72734
"2019-08-01 00:00:00",99.10408,98.85255,98.66364
"2019-09-01 00:00:00",99.09683,98.8544,98.64407
"2019-10-01 00:00:00",99.1116,98.90778,98.67736
"2019-11-01 00:00:00",99.14304,98.98977,98.75077
"2019-12-01 00:00:00",99.17603,99.06838,98.83568
"2020-01-01 00:00:00",99.19511,99.10507,98.8921
"2020-02-01 00:00:00",95.44157,99.06925,98.93502
"2020-03-01 00:00:00",94.21173,97.68043,98.98381
"2020-04-01 00:00:00",89.57169,92.79109,99.06534
"2020-05-01 00:00:00",93.28367,94.32816,99.20245
"2020-06-01 00:00:00",96.43383,96.13841,99.42742
"2020-07-01 00:00:00",98.05505,97.74959,99.73022
"2020-08-01 00:00:00",98.99496,98.44802,100.0891
"2020-09-01 00:00:00",99.51759,98.74708,100.4762
"2020-10-01 00:00:00",99.92094,99.11544,100.8641
"2020-11-01 00:00:00",100.22,99.51669,101.2441
"2020-12-01 00:00:00",100.5358,99.93729,101.6145
"2021-01-01 00:00:00",100.7514,100.3149,101.9772
"2021-02-01 00:00:00",100.9597,100.689,102.3082
"2021-03-01 00:00:00",101.1851,101.0109,102.5803
"2021-04-01 00:00:00",101.3533,101.2737,102.7611
"2021-05-01 00:00:00",101.4268,101.3433,102.8012
"2021-06-01 00:00:00",101.4467,101.3427,102.6844
"2021-07-01 00:00:00",101.3124,101.2914,102.4412
"2021-08-01 00:00:00",101.1874,101.2201,102.1211
"2021-09-01 00:00:00",101.0936,101.1619,101.7628
"2021-10-01 00:00:00",100.9956,101.1233,101.4142
"2021-11-01 00:00:00",100.8536,101.0916,101.1215
"2021-12-01 00:00:00",100.6981,101.0412,100.8951
"2022-01-01 00:00:00",100.5198,100.9543,100.7107
"2022-02-01 00:00:00",100.3161,100.8216,100.5595
"2022-03-01 00:00:00",100.0908,100.627,100.4287
"2022-04-01 00:00:00",99.8609,100.3701,100.2916
"2022-05-01 00:00:00",99.62807,100.0578,100.121
"2022-06-01 00:00:00",99.40473,99.73762,99.90964
"2022-07-01 00:00:00",99.21035,99.46284,99.67267
"2022-08-01 00:00:00",99.06264,99.25039,99.41627
"2022-09-01 00:00:00",98.96473,99.08558,99.11549
"2022-10-01 00:00:00",98.92419,98.95854,98.77342
"2022-11-01 00:00:00",98.94102,98.86188,98.43169
"2022-12-01 00:00:00",99.01987,98.80082,98.15105
"2023-01-01 00:00:00",99.12844,98.76514,97.96378
"2023-02-01 00:00:00",99.25929,98.74138,97.90427
"2023-03-01 00:00:00",99.39775,98.73559,97.97065
"2023-04-01 00:00:00",99.53204,98.76765,98.13097
"2023-05-01 00:00:00",99.66208,98.83607,98.35673
"2023-06-01 00:00:00",99.76443,98.93295,98.60285
"2023-07-01 00:00:00",99.84142,99.029,98.82078
"2023-08-01 00:00:00",99.88233,99.10321,99.02483
"2023-09-01 00:00:00",99.88733,99.15327,99.22832
"2023-10-01 00:00:00",99.87499,99.19682,99.43986
"2023-11-01 00:00:00",99.8651,99.26794,99.66632
"2023-12-01 00:00:00",99.86776,99.37902,99.90054
"2024-01-01 00:00:00",99.88527,99.52448,100.1259
"2024-02-01 00:00:00",99.91403,99.67572,100.338
"2024-03-01 00:00:00",99.94592,99.80054,100.5248
"2024-04-01 00:00:00",99.9732,99.86766,100.6795
"2024-05-01 00:00:00",99.99891,99.88445,100.7909
"2024-06-01 00:00:00",100.0271,99.88459,100.8636
"2024-07-01 00:00:00",100.0687,99.91092,100.8975
"2024-08-01 00:00:00",100.1273,99.97717,100.8937
"2024-09-01 00:00:00",100.2066,100.0876,100.8525
"2024-10-01 00:00:00",100.3026,100.2305,100.7813
"2024-11-01 00:00:00",100.4075,100.3918,100.6942
